default_flag,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,discoverymethod_encoded,soltype_encoded,disc_facility_encoded,st_metratio_encoded,pl_rade_st_ratio,st_density_est,pl_density_est,pl_eq_temp,vmag_minus_kmag,vmag_minus_gaiamag,pl_orbper_uncertainty,pl_rade_uncertainty,st_teff_uncertainty,st_rad_uncertainty,st_mass_uncertainty,sy_dist_uncertainty,sy_vmag_uncertainty,sy_kmag_uncertainty,sy_gaiamag_uncertainty
1,1,0,0,1.876899,2e-05,-2e-05,0.0,13.2,1.5,-1.7,0.0,1.18,0.13,-0.15,0.0,0,5131.28215352553,110.70379176379178,-110.14726635514019,0.0,0.774,0.089,-0.068,0.0,0.872730294033413,0.113325542503864,-0.090687077002584,0.0,-0.030312588652482268,0.09762811559301626,-0.09813744732089102,0.0,4.43702004688832,0.08070892459016393,-0.0825079306791569,0.0,288.6397893,-26.3091775,858.471,42.985,-39.133,15.883,0.092,-0.092,13.622,0.064,-0.064,15.818,0.000739,-0.000739,2,0,3,3,17.05426356589147,1.8821627296420054,0.0005130506163564015,1291.0200524118127,2.2609999999999992,0.0649999999999995,4e-05,3.2,220.85105811893197,0.157,0.204012619506448,82.118,0.184,0.128,0.001478
0,1,3,0,1.2089765,2.3e-06,-2.3e-06,0.0,1.529,0.05787,-0.05787,0.0,0.13640848,0.00516282,-0.00516282,0.0,0,4294.0,52.0,-52.0,0.0,0.579,0.018,-0.018,0.0,0.593,0.018,-0.018,0.0,-0.26,0.08,-0.08,0.0,4.682,0.021,-0.021,0.0,351.7717763,-1.2853435,29.661,0.0543,-0.0541,10.37,0.03,-0.03,7.193,0.024,-0.024,9.83773,0.000411,-0.000411,2,1,3,0,2.6407599309153715,3.055054781588596,0.038160926770508724,1153.9398582579454,3.1769999999999996,0.5322699999999987,4.6e-06,0.11574,104.0,0.036,0.036,0.1084,0.06,0.048,0.000822
1,1,0,0,9.38053,0.00076,-0.00077,0.0,2.89,0.17,-0.41,0.0,0.258,0.015,-0.037,0.0,0,5131.28215352553,110.70379176379178,-110.14726635514019,0.0,1.412,0.04,-0.022,0.0,0.872730294033413,0.113325542503864,-0.090687077002584,0.0,-0.030312588652482268,0.09762811559301626,-0.09813744732089102,0.0,4.43702004688832,0.08070892459016393,-0.0825079306791569,0.0,330.3003228,-14.0145545,543.349,39.689,-34.71,12.282,0.092,-0.092,11.075,0.021,-0.021,12.1792,0.000324,-0.000324,2,0,3,3,2.046742209631728,0.3100101842477623,0.010688731744277974,1019.8845934267202,1.2070000000000007,0.10280000000000022,0.0015300000000000001,0.58,220.85105811893197,0.062,0.204012619506448,74.399,0.184,0.042,0.000648
1,1,1,0,26.201446,0.003331,-0.003124,0.0,2.26,0.19,-0.1,0.0,0.20162404,0.01695069,-0.00892142,0.0,0,4801.0,49.0,-49.0,0.0,0.7,0.01,-0.01,0.0,0.71,0.02,-0.02,0.0,-0.18,0.08,-0.08,0.0,4.6,0.01,-0.01,0.0,125.9864854,22.663226,105.58,0.487,-0.482,11.903,0.034,-0.034,9.501,0.023,-0.023,11.6828,0.000434,-0.000434,2,1,3,0,3.2285714285714286,2.06997084548105,0.017466946705135575,493.7716704343642,2.402000000000001,0.22020000000000017,0.006455000000000001,0.29000000000000004,98.0,0.02,0.04,0.969,0.068,0.046,0.000868
1,1,0,0,1.0829614,14.268843937306421,-9.196982863426268,0.0,1.56,2.8673039017688025,-2.7908881804387184,0.0,0.13917388,0.25681901184192196,-0.24880599625696379,0.0,0,3875.0,110.70379176379178,-110.14726635514019,0.0,0.56,0.1179946836892603,-0.12191487317829458,0.0,0.872730294033413,0.113325542503864,-0.090687077002584,0.0,-0.030312588652482268,0.09762811559301626,-0.09813744732089102,0.0,4.43702004688832,0.08070892459016393,-0.0825079306791569,0.0,173.2627978,-3.3887192,299.406,4.528,-4.398,15.657,0.355,-0.355,12.282,0.024,-0.024,15.1848,0.000676,-0.000676,2,0,3,3,2.7857142857142856,4.969537479690989,0.03665928075321566,996.1199556471838,3.375,0.47220000000000084,23.46582680073269,5.6581920822075205,220.85105811893197,0.23990955686755489,0.204012619506448,8.925999999999998,0.71,0.048,0.001352
1,1,0,0,25.988289,0.011853,-0.0106,0.0,316.73370059,370.90279908,-178.53833759,0.0,28.26,33.09,-15.93,0.0,0,4382.0,50.0,-50.0,0.0,15.95329,1.979162,-1.440028,0.0,0.872730294033413,0.113325542503864,-0.090687077002584,0.0,-0.72,0.08,-0.08,0.0,2.07,0.1,-0.1,0.0,184.1040264,-9.5159249,3177.47,575.795,-575.795,11.461,0.053,-0.053,8.239,0.024,-0.024,11.0772,0.000885,-0.000885,2,0,3,0,19.85381702394929,0.00021494595251813945,8.893840419348864e-07,2084.4357829027554,3.2219999999999995,0.3838000000000008,0.022453,549.44113667,100.0,3.4191900000000004,0.204012619506448,1151.59,0.106,0.048,0.00177
0,1,0,0,3.2367,0.0011,-0.0011,0.0,1.58,0.24,-0.24,0.0,0.141,0.021,-0.021,0.0,0,4863.0,248.0,-248.0,0.0,0.74,0.05,-0.05,0.0,0.872730294033413,0.113325542503864,-0.090687077002584,0.0,-0.030312588652482268,0.09762811559301626,-0.09813744732089102,0.0,4.597,0.035,-0.035,0.0,100.3787709,20.9218836,127.188,0.963,-0.948,12.719,0.069,-0.069,10.107,0.03,-0.03,12.5582,0.000202,-0.000202,2,0,3,3,2.135135135135135,2.153698433541481,0.0357476791896787,997.6301356392756,2.612,0.16080000000000005,0.0022,0.48,496.0,0.1,0.204012619506448,1.911,0.138,0.06,0.000404
0,1,0,0,18.641,14.268843937306421,-9.196982863426268,0.0,8.452526263603803,2.8673039017688025,-2.7908881804387184,0.0003169572107765452,0.7544661086053883,0.25681901184192196,-0.24880599625696379,0.0003169572107765452,0,4774.48,110.70379176379178,-110.14726635514019,0.0,1.1752826093831001,0.1179946836892603,-0.12191487317829458,0.0,0.872730294033413,0.113325542503864,-0.090687077002584,0.0,-0.1038,0.0126,-0.0126,0.0,4.43702004688832,0.08070892459016393,-0.0825079306791569,0.0,131.9735167,12.2317861,297.8,23.615845882179283,-18.96617722758991,13.173,0.092,-0.092,11.175,0.02,-0.02,13.0279,0.0006,-0.0006,2,0,3,1,7.191909585083106,0.5375924013226864,0.001249338573167173,688.6381479096933,1.9979999999999993,0.14509999999999934,23.46582680073269,5.6581920822075205,220.85105811893197,0.23990955686755489,0.204012619506448,42.582023109769196,0.184,0.04,0.0012
0,1,0,0,27.77045,8e-05,-8e-05,0.0,32.79,9.01,-9.01,0.0,2.925,0.804,-0.804,0.0,0,5086.0,24.0,-26.0,0.0,8.15,0.32,-0.23,0.0,0.872730294033413,0.113325542503864,-0.090687077002584,0.0,-0.17,0.01,-0.01,0.0,4.43702004688832,0.08070892459016393,-0.0825079306791569,0.0,177.2343917,2.8075643,252.383,1.704,-1.682,13.595,0.16,-0.16,10.941,0.019,-0.019,13.2049,0.000291,-0.000291,2,0,3,0,4.023312883435582,0.0016121565984499448,8.296628048867755e-05,1691.3926296893812,2.654,0.39010000000000034,0.00016,18.02,50.0,0.55,0.204012619506448,3.386,0.32,0.038,0.000582
0,1,1,0,2.7908821,14.268843937306421,-9.196982863426268,0.0,19.1,2.8673039017688025,-2.7908881804387184,0.0,1.70398787,0.25681901184192196,-0.24880599625696379,0.0,0,6659.0,110.70379176379178,-110.14726635514019,0.0,1.8,0.1179946836892603,-0.12191487317829458,0.0,0.872730294033413,0.113325542503864,-0.090687077002584,0.0,-0.030312588652482268,0.09762811559301626,-0.09813744732089102,0.0,4.43702004688832,0.08070892459016393,-0.0825079306791569,0.0,100.8480137,27.2521823,320.639,5.652,-5.463,10.92,0.03,-0.03,9.83,0.016,-0.016,10.8245,0.00042,-0.00042,2,0,1,3,10.611111111111112,0.1496451121456469,0.000244549284853293,2238.4549068093775,1.0899999999999999,0.09549999999999947,23.46582680073269,5.6581920822075205,220.85105811893197,0.23990955686755489,0.204012619506448,11.115,0.06,0.032,0.00084
