default_flag,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,discoverymethod_encoded,soltype_encoded,disc_facility_encoded,st_metratio_encoded,pl_rade_st_ratio,st_density_est,pl_density_est,pl_eq_temp,vmag_minus_kmag,vmag_minus_gaiamag,pl_orbper_uncertainty,pl_rade_uncertainty,st_teff_uncertainty,st_rad_uncertainty,st_mass_uncertainty,sy_dist_uncertainty,sy_vmag_uncertainty,sy_kmag_uncertainty,sy_gaiamag_uncertainty
1,1,1,0,9.283188,0.002052,-0.0023,0.0,6.11721229,1.63323815,-0.78261667,0.0,0.54574113,0.14570775,-0.06982038,0.0,0,4972.0,50.0,-50.0,0.0,2.568173,0.314886,-0.249842,0.0,0.986876,0.082131,-0.060459,0.0,-0.03,0.08,-0.08,0.0,3.63,0.1,-0.1,0.0,183.7938491,-3.4956913,916.319,46.341,-46.341,12.718,0.08,-0.08,10.261,0.024,-0.024,12.3574,0.000198,-0.000198,2,1,3,0,2.3819315482251393,0.05826258641095443,0.002384108568628194,1310.2797603865629,2.4570000000000007,0.3605999999999998,0.004352,2.41585482,100.0,0.564728,0.14259,92.682,0.16,0.048,0.000396
0,1,2,0,0.50565,6e-05,-5e-05,0.0,0.89,0.1,-0.08,0.0,0.07940048,0.0089214,-0.00713712,0.0,0,5835.0,38.0,-40.0,0.0,0.99,0.01,-0.01,0.0,1.06,0.02,-0.02,0.0,0.12,0.06,-0.06,0.0,4.48,0.01,-0.01,0.0,185.306183,-10.2820915,198.604,2.567,-2.503,11.443,0.057,-0.057,9.835,0.024,-0.024,11.2736,0.000792,-0.000792,2,1,3,0,0.898989898989899,1.0924467612560664,0.11262974683993195,2488.7870071271586,1.6079999999999988,0.16939999999999955,0.00011,0.18,78.0,0.02,0.04,5.07,0.114,0.048,0.001584
0,1,0,0,2.6454165,14.268843937306421,-9.196982863426268,0.0,9.47,2.8673039017688025,-2.7908881804387184,0.0,0.84485681,0.25681901184192196,-0.24880599625696379,0.0,0,5179.0,110.70379176379178,-110.14726635514019,0.0,0.79,0.1179946836892603,-0.12191487317829458,0.0,0.872730294033413,0.113325542503864,-0.090687077002584,0.0,-0.030312588652482268,0.09762811559301626,-0.09813744732089102,0.0,4.43702004688832,0.08070892459016393,-0.0825079306791569,0.0,244.8207081,-21.4599992,528.025,13.187,-12.569,11.961,0.023,-0.023,10.298,0.023,-0.023,11.649,0.000444,-0.000444,2,0,3,3,11.987341772151899,1.7701039756153425,0.0009947940340387172,1174.1178302536425,1.6630000000000003,0.31200000000000117,23.46582680073269,5.6581920822075205,220.85105811893197,0.23990955686755489,0.204012619506448,25.756,0.046,0.046,0.000888
1,2,1,0,0.381073,2.4e-05,-2.4e-05,0.0,2.3,0.1,-0.1,0.0,0.20519261,0.00892142,-0.00892142,0.0,0,3879.0,90.0,-90.0,0.0,0.58,0.03,-0.03,0.0,0.872730294033413,0.113325542503864,-0.090687077002584,0.0,0.032,0.12,-0.12,0.0,4.7,0.04,-0.04,0.0,169.4827046,2.6190363,243.836,2.7975,-2.7975,15.565,0.046,-0.046,11.924,0.026,-0.026,14.9537,0.000777,-0.000777,2,1,3,0,3.9655172413793105,4.472970878436043,0.01686468398126079,1437.4120989179087,3.641,0.6113,4.8e-05,0.2,180.0,0.06,0.204012619506448,5.595,0.092,0.052,0.001554
0,1,1,0,23.446501,14.268843937306421,-9.196982863426268,0.0,2.71,2.8673039017688025,-2.7908881804387184,0.0,0.24177001,0.25681901184192196,-0.24880599625696379,0.0,0,5484.0,110.70379176379178,-110.14726635514019,0.0,0.87,0.1179946836892603,-0.12191487317829458,0.0,0.872730294033413,0.113325542503864,-0.090687077002584,0.0,-0.030312588652482268,0.09762811559301626,-0.09813744732089102,0.0,4.43702004688832,0.08070892459016393,-0.0825079306791569,0.0,238.8197061,-21.0269691,187.222,1.492,-1.47,11.372,0.036,-0.036,9.623,0.023,-0.023,11.5285,0.000501,-0.000501,2,0,3,3,3.1149425287356323,1.3253247047217902,0.012147713924137512,630.4461131552928,1.7490000000000006,-0.15649999999999942,23.46582680073269,5.6581920822075205,220.85105811893197,0.23990955686755489,0.204012619506448,2.9619999999999997,0.072,0.046,0.001002
1,1,0,0,0.524461,14.268843937306421,-9.196982863426268,0.0,8.452526263603803,2.8673039017688025,-2.7908881804387184,0.0003169572107765452,0.7544661086053883,0.25681901184192196,-0.24880599625696379,0.0003169572107765452,0,3112.0,157.0,-157.0,0.0,0.200172,0.006031,-0.006031,0.0,0.169168,0.020071,-0.020071,0.0,-0.030312588652482268,0.09762811559301626,-0.09813744732089102,0.0,5.06358,0.025593,-0.025593,0.0,130.3694131,12.4465352,52.773,0.2928,-0.2897,18.14,0.2,-0.2,11.742,0.018,-0.018,16.1204,0.000743,-0.000743,2,0,3,3,42.22631668566934,21.091537023162502,0.001249338573167173,800.5972089175892,6.398,2.0196000000000005,23.46582680073269,5.6581920822075205,314.0,0.012062,0.040142,0.5825,0.4,0.036,0.001486
0,1,3,0,6.20141,0.00013,-0.0001,0.0,2.1,0.15,-0.15,0.0,0.18734945,0.0133821,-0.0133821,0.0,0,4255.0,110.0,-110.0,0.0,0.651,0.065,-0.065,0.0,0.659,0.06,-0.06,0.0,-0.28,0.12,-0.12,0.0,4.7,0.15,-0.15,0.0,351.7717763,-1.2853435,29.661,0.0543,-0.0541,10.37,0.03,-0.03,7.193,0.024,-0.024,9.83773,0.000411,-0.000411,2,1,3,0,3.2258064516129035,2.388594615119678,0.020229937371774104,690.7845183964565,3.1769999999999996,0.5322699999999987,0.00023,0.3,220.0,0.13,0.12,0.1084,0.06,0.048,0.000822
1,1,0,0,5.10555,0.000183,-0.000192,0.0,10.889,2.849,-1.243,0.0,0.97145318,0.25417119,-0.11089322,0.0,0,4938.0,138.0,-138.0,0.0,1.109,0.095,-0.09,0.0,1.873,0.869,-0.596,0.0,-0.074,0.235,-0.235,0.0,4.621,0.15,-0.15,0.0,345.1577409,-1.5441849,1036.96,53.72,-48.769,15.835,0.355,-0.355,13.357,0.037,-0.037,15.4864,0.000705,-0.000705,2,0,3,0,9.818755635707845,1.3732295457537975,0.0007524157551233463,938.0154084451797,2.4780000000000015,0.34860000000000113,0.000375,4.0920000000000005,276.0,0.185,1.4649999999999999,102.489,0.71,0.074,0.00141
0,2,1,0,0.381078,3e-06,-3e-06,0.0,4.75,0.35,-0.36,0.0,0.42376662,0.03122491,-0.03211705,0.0,0,3879.18,94.55,-87.36,0.0,0.581569,0.029881,-0.030613,0.0,0.595292,0.059529,-0.059529,0.0,-0.030312588652482268,0.09762811559301626,-0.09813744732089102,0.0,4.43702004688832,0.08070892459016393,-0.0825079306791569,0.0,169.4827046,2.6190363,243.836,2.7975,-2.7975,15.565,0.046,-0.046,11.924,0.026,-0.026,14.9537,0.000777,-0.000777,2,1,3,3,8.16756051302597,3.0263998015041813,0.003954084222189823,1534.1853954165229,3.641,0.6113,6e-06,0.71,181.91,0.060494000000000006,0.119058,5.595,0.092,0.052,0.001554
0,1,1,0,10.0044,0.0011,-0.0011,0.0,1.69,0.3,-0.3,0.0,0.1507717,0.02676421,-0.02676421,0.0,0,4044.0,81.0,-81.0,0.0,0.435,0.06,-0.06,0.0,0.487,0.072,-0.072,0.0,-0.030312588652482268,0.09762811559301626,-0.09813744732089102,0.0,4.849,0.06,-0.06,0.0,174.7455392,-3.9055746,231.828,2.129,-2.091,14.855,0.114,-0.114,11.571,0.023,-0.023,14.3403,0.000425,-0.000425,2,1,3,3,3.8850574712643677,5.91644988709239,0.031236309537004677,481.2464297232114,3.2840000000000007,0.5147000000000013,0.0022,0.6,162.0,0.12,0.144,4.220000000000001,0.228,0.046,0.00085
