koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,planet_star_radius_ratio,planet_star_volume_ratio,transit_density_proxy,temp_ratio_planet_star
0,0,0,0,14.7401061,0.0002296,-0.0002296,133.5305,0.0118,-0.0118,0.116,0.321,-0.116,5.637,0.383,-0.383,238.0,26.9,-26.9,1.48,0.41,-0.15,750.0,74.65,62.44,-21.67,10.3,1.0,5999.0,180.0,-198.0,4.494,0.048,-0.192,0.959,0.266,-0.095,298.38007,46.8894,15.479,-0.08615487772479066,-0.0350714530162193,-0.28316283511029233,-0.3956149881726226
0,0,0,0,24.2758992,0.0002426,-0.0002426,152.43133,0.00897,-0.00897,0.441,0.505,-0.239,4.59,0.209,-0.209,702.2,45.0,-45.0,2.25,0.56,-0.2,580.0,26.68,20.49,-7.5,17.0,2.0,5745.0,181.0,-201.0,4.559,0.042,-0.168,0.837,0.209,-0.075,296.26456,39.40596,15.48,-0.08292235191751705,-0.035071452512612275,-0.27678002786602246,-0.5418824489234565
0,0,0,0,107.904526,0.001667,-0.001667,159.9493,0.0131,-0.0131,0.2415,0.2474,-0.2415,2.053,0.328,-0.328,249.4,49.8,-49.8,1.26,0.43,-0.09,337.0,3.05,3.06,-0.68,6.1,1.0,5565.0,154.0,-136.0,4.574,0.029,-0.218,0.802,0.272,-0.059,287.86899,46.26936,14.295,-0.0860763921206193,-0.03507145300975328,-0.2785954590499323,-0.7874516200040237
0,1,1,0,3.05933906,7.25e-05,-7.25e-05,131.7541,0.0194,-0.0194,1.259,6.753,-0.16,1.7332,0.0658,-0.0658,1169.2,36.8,-36.8,36.0,10.97,-5.9,1434.0,999.16,926.77,-402.64,37.7,1.0,6238.0,197.0,-241.0,4.337,0.132,-0.198,1.116,0.34,-0.183,288.90887,50.16283,14.077,0.0005658342075669846,-0.0350703798108118,-0.24672227674186478,0.24176923898086095
0,0,0,0,628.15844,0.01967,-0.01967,152.9787,0.0124,-0.0124,0.2733,0.1295,-0.2731,12.144,0.783,-0.783,502.3,48.2,-48.2,0.95,0.11,-0.11,101.0,0.03,0.0,-0.01,14.7,1.0,3697.0,50.0,-62.0,4.829,0.06,-0.06,0.423,0.05,-0.05,284.19696,40.641251,13.347,-0.08417117584923978,-0.035071452771534256,-0.28321233824817155,-0.9894830607820571
0,0,0,0,49.1782244,0.0008315,-0.0008315,165.7659,0.0133,-0.0133,0.315,0.127,-0.315,5.8,0.333,-0.333,449.0,54.0,-54.0,1.79,0.37,-0.25,468.0,11.32,7.32,-3.9,9.4,1.0,5674.0,170.0,-170.0,4.473,0.121,-0.148,0.839,0.176,-0.117,283.67819,39.964279,15.527,-0.08448844518677423,-0.03507145282322886,-0.28113483728975197,-0.6541861053746041
0,0,0,0,16.56062577,4.465e-05,-4.465e-05,133.49703,0.0024,-0.0024,0.96,0.049,-0.698,2.611,0.121,-0.121,700.8,25.4,-25.4,2.94,0.68,-0.46,701.0,57.28,40.9,-21.13,30.8,1.0,5818.0,175.0,-175.0,4.436,0.165,-0.181,0.855,0.2,-0.133,285.24667,45.950191,15.198,-0.08080358952896469,-0.03507145183370098,-0.2701290058227383,-0.4231665286711708
0,1,0,0,20.000242814,4.713e-06,-4.713e-06,134.82021,0.000193,-0.000193,1.004,0.032,-0.036,5.0042,0.0185,-0.0185,13138.0,30.7,-30.7,21.57,6.14,-2.18,746.0,73.09,59.38,-20.75,796.5,1.0,6373.0,151.0,-189.0,4.438,0.062,-0.188,1.047,0.298,-0.106,298.21509,39.955101,13.718,-0.03234490864911761,-0.03507117354101356,-0.13430632454871555,-0.4440264339412506
0,0,0,0,17.168095,0.003415,-0.003415,134.637329,0.0491,-0.0491,0.999,0.018,-0.697,13.04,1.2,-1.2,143.1,20.9,-20.9,4.81,2.95,-2.96,603.0,31.34,59.51,-27.22,8.1,1.0,5053.0,136.0,-151.0,3.824,0.777,-0.777,1.907,1.172,-1.172,290.39032,45.389992,14.498,-0.08339071678109143,-0.03507145262065222,-0.2849634636785692,-0.430175481110652
1,0,0,0,73.836858,0.002898,-0.002898,174.0088,0.0217,-0.0217,0.8,0.074,-0.542,19.722,0.838,-0.838,231.2,20.7,-20.7,25.09,1.17,-6.64,1143.0,403.37,60.07,-212.02,13.1,3.0,4769.0,57.0,-154.0,2.583,0.033,-0.027,14.706,0.687,-3.89,291.55719,42.694649,10.996,-0.08569513451534809,-0.03507145297495434,-0.2849203009229192,0.30128597994903705
