koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,planet_star_radius_ratio,planet_star_volume_ratio,transit_density_proxy,temp_ratio_planet_star
1,0,0,0,365.25921,0.09592,-0.09592,236.672,0.148,-0.148,0.0035,0.4595,-0.0031,13.74,3.1,-3.1,529.0,90.1,-90.1,2.39,1.02,-0.27,268.0,1.23,1.55,-0.38,12.8,1.24365372098069,5993.0,162.0,-199.0,4.415,0.072,-0.284,1.042,0.444,-0.116,287.25095,44.946308,15.413,-0.0840362075641972,-0.03507145274790931,-0.2833772197030658,-0.8837226144361994
0,0,0,0,3.09872834,2.533e-05,-2.533e-05,134.39281,0.00672,-0.00672,0.133,0.339,-0.133,1.89,0.237,-0.237,248.0,30.0,-30.0,0.64,0.05,-0.06,579.0,26.6,6.64,-6.55,10.1,1.0,3628.0,58.0,-65.0,4.842,0.044,-0.036,0.41,0.034,-0.041,286.81915,37.859009,15.87,-0.08610489935845372,-0.035071453012128564,-0.27803440791590883,-0.18547727146686344
0,1,0,0,0.939375593,2.49e-07,-2.49e-07,132.016859,0.00022,-0.00022,0.987,0.057,-0.05,2.8424,0.0138,-0.0138,100890.0,386.0,-386.0,52.18,15.58,-11.68,1936.0,3333.58,2990.01,-1555.12,317.3,1.0,5826.0,174.0,-174.0,4.345,0.205,-0.205,0.978,0.292,-0.219,295.56934,38.726059,14.904,0.06012788003230904,-0.035066596770636914,1.7597990336215985,0.8643316509145215
0,1,0,0,41.077590334,1.383e-06,-1.383e-06,173.7358974,2.66e-05,-2.66e-05,0.502,0.001,-0.001,6.20583,0.00187,-0.00187,134480.0,32.8,-32.8,23.2,1.01,-0.94,346.0,3.37,0.61,-0.51,5518.2,1.0,4451.0,89.0,-89.0,4.654,0.022,-0.022,0.62,0.027,-0.025,289.07571,51.757439,11.762,0.015138317603945297,-0.03506977778827004,0.9631442691912866,-0.6830351265159791
0,0,0,0,4.48494315,3.379e-05,-3.379e-05,135.01836,0.00541,-0.00541,0.3,0.143,-0.3,2.752,0.179,-0.179,134.9,12.7,-12.7,1.23,0.41,-0.13,1199.0,488.22,477.99,-152.79,12.4,1.0,6217.0,172.0,-216.0,4.437,0.056,-0.224,1.051,0.349,-0.116,285.36624,49.044868,14.879,-0.08720790067403204,-0.03507145308249483,-0.28277110569625236,0.016728164894904588
0,0,0,0,4.62602867,1.063e-05,-1.063e-05,134.68092,0.00183,-0.00183,0.739,0.231,-0.513,0.643,0.11,-0.11,346.9,32.3,-32.3,1.65,0.44,-0.15,1012.0,247.34,194.38,-65.52,14.7,1.0,5834.0,157.0,-174.0,4.566,0.042,-0.168,0.797,0.213,-0.071,294.98059,44.425301,14.667,-0.08466696646047535,-0.035071452850026656,-0.25450678301500085,-0.10114660293815338
1,0,0,0,2.23416013,0.002147863706805708,-0.002147863706805708,131.7973,0.009932560537870472,-0.009932560537870472,0.7351054776654712,1.9598606037321624,-0.3325574643249176,2.12,0.33994151372118553,-0.33994151372118553,23791.335898271922,123.19756311745333,-123.19756311745333,102.89177806760135,17.65768394739702,-33.02331377024236,1085.3858276274318,2156.64,4706.59,-836.53,259.8950005434192,1.0,5706.8232800782525,144.63555408970976,-162.2650589142165,4.310156613411586,0.12073790677220755,-0.14316051011433598,1.7287115530920552,0.36229221635883907,-0.39480595866314866,297.65744,39.655231,13.411,0.07753584009971617,-0.03506471111578519,0.3610957346584158,0.0005146620184902588
0,1,0,0,34.82008158,1.24e-05,-1.24e-05,163.015559,0.000291,-0.000291,0.663,0.006,-0.003,11.1711,0.0216,-0.0216,18848.0,25.8,-25.8,11.36,1.16,-1.16,459.0,10.49,3.84,-2.91,882.6,1.0,5114.0,153.0,-138.0,4.522,0.084,-0.063,0.784,0.08,-0.08,286.86926,39.103729,15.187,-0.049601426872567,-0.035071355858511205,-0.18836958337519377,-0.6099832365926531
1,0,0,0,171.046664,0.001613,-0.001613,293.02637,0.00602,-0.00602,0.387,0.082,-0.387,2.438,0.323,-0.323,731.0,102.0,-102.0,32.31,2.3,-8.64,827.0,110.64,25.65,-57.6,9.8,1.0,4932.0,88.0,-137.0,2.697,0.033,-0.027,12.048,0.859,-3.223,296.42337,40.892471,12.769,-0.0829404193536669,-0.03507145251703753,-0.26831766427364934,-0.1363127908555636
0,0,0,0,10.2170589,0.0002154,-0.0002154,139.1299,0.0187,-0.0187,0.132,0.326,-0.132,2.259,0.659,-0.659,121.3,17.7,-17.7,1.17,0.33,-0.18,929.0,176.34,149.09,-67.62,7.9,1.0,6211.0,169.0,-225.0,4.384,0.108,-0.201,1.054,0.303,-0.163,298.54852,46.756641,14.455,-0.087378031583444,-0.03507145309001101,-0.28250156671957155,-0.2463750792182965
0,0,0,0,31.707574649,0.002147863706805708,-0.002147863706805708,138.2539898,0.009932560537870472,-0.009932560537870472,0.923,1.9598606037321624,-0.3325574643249176,7.6771,0.33994151372118553,-0.33994151372118553,787.3,123.19756311745333,-123.19756311745333,2.96,0.9,-0.28,547.0,21.1,18.37,-5.79,5.5,1.0,5861.0,141.0,-176.0,4.546,0.036,-0.204,0.865,0.263,-0.082,289.2291,44.09166,15.197,-0.08085054629399054,-0.03507145185247339,-0.27968625182486323,-0.5882519495523237
0,1,0,0,22.77196484,2.326e-05,-2.326e-05,140.4865,0.00104,-0.00104,0.603,0.045,-0.043,8.3476,0.0288,-0.0288,325450.0,1057.0,-1057.0,104.17,28.91,-38.53,835.0,114.9,100.17,-75.33,305.2,1.0,6049.0,211.0,-211.0,4.067,0.35,-0.15,1.557,0.432,-0.576,298.91333,47.657871,15.018,0.09838667078938115,-0.035061877276870254,1.961061718253077,-0.3164832922426285
0,0,0,0,80.2321467,0.0003914,-0.0003914,162.39301,0.00422,-0.00422,0.911,0.024,-0.622,4.656,0.128,-0.128,888.7,40.6,-40.6,3.24,0.38,-0.19,380.0,4.91,1.59,-0.81,24.9,1.0,5436.0,81.0,-81.0,4.505,0.039,-0.097,0.888,0.104,-0.052,282.86319,41.79668,14.32,-0.08021052434854012,-0.03507145158060459,-0.27459675887293383,-0.7306350666676593
0,1,0,0,16.434352831,1.105e-06,-1.105e-06,136.2884989,5.61e-05,-5.61e-05,0.572,0.009,-0.001,5.15682,0.00212,-0.00212,45700.0,26.1,-26.1,25.25,8.57,-7.02,789.0,91.8,126.36,-58.8,2171.4,1.0,5963.0,434.0,-530.0,4.322,0.205,-0.205,1.134,0.385,-0.315,282.90604,41.831841,13.814,-0.02764506081545924,-0.03507110014531441,0.22508370469230873,-0.35127238575121744
1,0,0,0,2.83401711,3.323e-05,-3.323e-05,133.5005,0.019,-0.019,0.2794,0.1708,-0.2794,5.938,0.885,-0.885,84.2,8.0,-8.0,0.93,0.41,-0.09,1381.0,859.57,1116.06,-249.35,11.5,2.0,6247.0,167.0,-210.0,4.458,0.051,-0.051,1.002,0.439,-0.098,291.56744,42.856178,15.036,-0.08789164874436337,-0.035071453108182334,-0.28477872043530683,0.18818656387186414
0,0,0,0,14.43348326,8.215e-05,-8.215e-05,143.60783,0.00492,-0.00492,1.185,67.19,-0.221,2.663,0.242,-0.242,526.8,43.3,-43.3,16.25,1.76,-1.18,558.0,22.91,8.4,-5.48,14.8,1.0,4915.0,133.0,-148.0,4.627,0.027,-0.063,0.702,0.076,-0.051,290.82437,45.355019,15.323,-0.025155273639049812,-0.035071056523208494,-0.2741962613831551,-0.46546082314781495
1,0,0,1,374.93999098,0.002147863706805708,-0.002147863706805708,137.9851608,0.009932560537870472,-0.009932560537870472,0.64,1.9598606037321624,-0.3325574643249176,17.0849,0.33994151372118553,-0.33994151372118553,235.1,123.19756311745333,-123.19756311745333,4.67,1.43,-3.1,381.0,4.99,4.63,-4.5,8.4,1.0,5382.0,169.0,-187.0,3.645,0.856,-0.214,2.909,0.89,-1.929,290.87735,44.861591,13.917,-0.08597957611120838,-0.03507145300145582,-0.284802875248152,-0.7252423964145773
0,0,0,0,7.28171395,2.914e-05,-2.914e-05,137.30085,0.00321,-0.00321,0.956,0.005,-0.663,1.723,0.11,-0.11,111.6,9.3,-9.3,2.59,1.47,-1.46,1086.0,329.68,589.5,-273.7,14.4,1.0,4970.0,164.0,-134.0,3.924,0.624,-0.336,1.806,1.02,-1.02,299.13779,43.498638,13.367,-0.08646309824662737,-0.03507145303943741,-0.2818633982554478,0.1726559775584387
0,0,1,1,2.17818699,1.527e-05,-1.527e-05,132.00477,0.00615,-0.00615,0.553,0.403,-0.349,2.686,0.166,-0.166,115.8,8.9,-8.9,1.03,0.27,-0.16,1347.0,776.45,601.66,-282.1,15.4,1.0,5584.0,166.0,-149.0,4.428,0.12,-0.18,0.932,0.239,-0.147,288.0498,46.35833,15.123,-0.08739188528397152,-0.035071453090588435,-0.2831114680668562,0.3107199050142105
0,0,1,0,2.065351521,8.985e-06,-8.985e-06,133.15601,0.00315,-0.00315,0.63,0.042,-0.469,2.661,0.109,-0.109,173.2,8.1,-8.1,1.03,0.14,-0.12,1196.0,485.51,213.29,-150.76,25.3,1.0,5266.0,158.0,-158.0,4.536,0.099,-0.09,0.749,0.098,-0.088,298.49808,42.466412,14.788,-0.0866295151669406,-0.03507145305059451,-0.2818450984927196,0.2249684478683657
