ra,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim
32.249191,8.057199,24.046,0.046,-0.046,0.0,-24.591,0.046,-0.046,0.0,2459490.634183,0.001059,-0.001059,0,4.2417694,0.0002136,-0.0002136,0,1.832,0.265,-0.265,0,18430.0,18.7082,-18.7082,0,11.5903,1.379436464048041,-1.379436464048041,0,67.8153,799.0,13.0557,0.009,-0.009,0,313.459,3.0915,-3.0915,0,4794.0,122.0,-122.0,0,4.51,0.16460809853794883,-0.16460809853794883,0,0.81,0.0740639963527715,-0.0740639963527715,0
354.44576,-42.966387,35.442,0.031,-0.031,0.0,-2.415,0.031,-0.031,0.0,2459062.452226,0.000378,-0.000378,0,2.7509863,2.4e-06,-2.4e-06,0,1.998979,0.0428688,-0.0428688,0,10686.8965192,215.08722,-215.08722,0,12.6685799,0.770943,-0.770943,0,587.6484052,1255.7382989,12.4502,0.006,-0.006,0,398.356,4.1875,-4.1875,0,5317.0,134.8,-134.8,0,4.34,0.09,-0.09,0,1.0711401,0.0627538,-0.0627538,0
242.364094,84.491119,0.046,0.035,-0.035,0.0,49.478,0.037,-0.037,0.0,2459441.746048,0.001291,-0.001291,0,23.0531698,7.28e-05,-7.28e-05,0,1.228,0.355,-0.355,0,2940.0,192.49,-192.49,0,9.12613,1.86455,-1.86455,0,7.85406,466.0,10.7791,0.006,-0.006,0,232.304,1.076,-1.076,0,5752.0,126.2,-126.2,0,4.3,0.08,-0.08,0,1.19,0.06,-0.06,0
149.853813,-45.449353,-6.003,0.028,-0.028,0.0,3.499,0.026,-0.026,0.0,2459988.448188,0.001476,-0.001476,0,0.4021401,2.12e-05,-2.12e-05,0,1.1432107,0.1439474,-0.1439474,0,3337.1746961,276.33997,-276.33997,0,22.9091656,41.55986,-41.55986,0,17100.1,3185.0,12.7411,0.006,-0.006,0,1171.09,22.815,-22.815,0,6115.0,127.4,-127.4,0,3.72,0.08,-0.08,0,2.44753,0.118634,-0.118634,0
242.747885,58.294553,20.507,0.054,-0.054,0.0,0.114,0.053,-0.053,0.0,2458909.510365,0.00237,-0.00237,0,48.3320223,0.0040631,-0.0040631,0,5.3736904,0.2599591,-0.2599591,0,4780.0505501,232.32579,-232.32579,0,5.0923959,0.5702999,-0.5702999,0,2.1152872,307.5828267,11.6463,0.006,-0.006,0,172.534,0.9345,-0.9345,0,5059.36,146.23,-146.23,0,4.62542,0.0991452,-0.0991452,0,0.738692,0.0529272,-0.0529272,0
289.7986,28.916802,-9.452,0.021,-0.021,0.0,3.571,0.028,-0.028,0.0,2460531.193621,0.002344,-0.002344,0,11.0658881,2.6e-05,-2.6e-05,0,2.254,0.877,-0.877,0,13656.0,3600.51,-3600.51,0,16.7803,2.68881,-2.68881,0,45.0942,721.0,12.8434,0.012,-0.012,0,644.029,7.115,-7.115,0,5617.0,138.8,-138.8,0,4.14,0.08,-0.08,0,1.4,0.08,-0.08,0
121.591887,42.19247,-4.286,0.038,-0.038,0.0,-4.391,0.027,-0.027,0.0,2459601.148849,0.002034,-0.002034,0,3.2371501,1.61e-05,-1.61e-05,0,3.3511315,0.1271259,-0.1271259,0,10146.6837063,289.49194,-289.49194,0,13.8548638,0.5371373,-0.5371373,0,984.9041254,1428.7894629,13.2237,0.007,-0.007,0,814.386,15.9915,-15.9915,0,5800.1,112.8,-112.8,0,4.19,0.16460809853794883,-0.16460809853794883,0,1.35302,0.0740639963527715,-0.0740639963527715,0
110.910659,-26.711311,-3.301,0.025,-0.025,0.0,0.295,0.034,-0.034,0.0,2459251.837973,0.002341,-0.002341,0,2.6889686,9.6e-06,-9.6e-06,0,2.677,0.18,-0.18,0,10930.0,5.84754,-5.84754,0,13.0858,0.669334,-0.669334,0,1246.08,1655.0,12.9674,0.011,-0.011,0,838.737,13.2515,-13.2515,0,6685.0,136.3,-136.3,0,4.4,0.09,-0.09,0,1.25,0.06,-0.06,0
327.947949,-70.351914,24.465,0.046,-0.046,0.0,-50.714,0.044,-0.044,0.0,2458679.442502,0.003732,-0.003732,0,19.068662353778397,0.0003009980158115021,-0.0003009980158115021,0,5.7408858,0.7907361,-0.7907361,0,177.9248977,21.182976,-21.182976,0,3.3520677,2.7874317,-2.7874317,0,431.0470784,1162.1198678,7.3016,0.006,-0.006,0,110.275,0.368,-0.368,0,6163.97,113.083,-113.083,0,3.72396,0.0825978,-0.0825978,0,2.4612,0.105005,-0.105005,0
320.054292,-51.309972,18.03,0.053,-0.053,0.0,-14.704,0.064,-0.064,0.0,2458328.33733,0.00377,-0.00377,0,7.31898,0.00224,-0.00224,0,3.771,0.886,-0.886,0,3809.3,10.2,-10.2,0,8.79673,0.51237,-0.51237,0,468.718,1296.0,11.407,0.006,-0.006,0,360.131,4.613,-4.613,0,5926.0,79.5,-79.5,0,4.27,2.01,-2.01,0,1.3,0.03,-0.03,0
259.254539,72.747023,47.717,0.041,-0.041,0.0,36.775,0.05,-0.05,0.0,2458745.410754,0.003461,-0.003461,0,8.1490285,0.0001847,-0.0001847,0,2.3210553,0.3841846,-0.3841846,0,2850.6795113,246.58076,-246.58076,0,2.5781465,0.6007387,-0.6007387,0,8.990204,441.633629,13.3257,0.007,-0.007,0,114.549,0.3405,-0.3405,0,3630.0,157.0,-157.0,0,4.76664,0.006844,-0.006844,0,0.466766,0.0138789,-0.0138789,0
76.446544,-38.864642,7.82,0.034,-0.034,0.0,6.999,0.045,-0.045,0.0,2459199.878456,0.000866,-0.000866,0,0.2097217,4e-07,-4e-07,0,0.25,0.06,-0.06,0,1250.0,1439.97,-1439.97,0,11.9597,4.55719,-4.55719,0,6373.11,2489.0,12.4813,0.006,-0.006,0,505.695,5.3265,-5.3265,0,6046.0,128.3,-128.3,0,4.42,0.08,-0.08,0,1.08,0.05,-0.05,0
76.314156,-42.128668,3.012,2.436,-2.436,0.0,-14.418,2.436,-2.436,0.0,2459197.662315,0.001337,-0.001337,0,1.5292851,3.6e-06,-3.6e-06,0,1.167,0.131,-0.131,0,2800.0,3.39267,-3.39267,0,12.6875,1.85386,-1.85386,0,623.678,1392.0,12.4435,0.006,-0.006,0,573.731,20.790227947403686,-20.790227947403686,0,6295.5,447.1,-447.1,0,4.304553584840654,0.16460809853794883,-0.16460809853794883,0,2.21,0.31,-0.31,0
109.730884,-15.760907,-5.611,0.043,-0.043,0.0,7.38,0.033,-0.033,0.0,2459246.338861,0.002867,-0.002867,0,3.3583921,2.37e-05,-2.37e-05,0,2.644,0.532,-0.532,0,9170.0,18.5496,-18.5496,0,8.84831,1.379436464048041,-1.379436464048041,0,344.843,1200.0,13.2701,0.008,-0.008,0,446.767,5.134,-5.134,0,5177.0,124.0,-124.0,0,4.46,0.16460809853794883,-0.16460809853794883,0,0.91,0.0740639963527715,-0.0740639963527715,0
214.120856,58.390253,37.07,0.081,-0.081,0.0,-44.439,0.072,-0.072,0.0,2459684.920137,0.001523,-0.001523,0,4.6313014,8.8e-06,-8.8e-06,0,1.435,0.232,-0.232,0,4860.0,77.7533,-77.7533,0,9.34848,1.12279,-1.12279,0,225.013,1078.0,10.418,0.006,-0.006,0,177.118,1.214,-1.214,0,5736.0,164.8,-164.8,0,4.39,0.07,-0.07,0,1.07,0.05,-0.05,0
75.369103,28.816605,4.428,0.055,-0.055,0.0,-2.666,0.031,-0.031,0.0,2459505.662464,0.006873,-0.006873,0,13.7279713,0.0002402,-0.0002402,0,3.039,0.629,-0.629,0,5210.0,26.9996,-26.9996,0,11.6412,1.379436464048041,-1.379436464048041,0,59.8936,775.0,13.357,0.012,-0.012,0,905.181,24.89,-24.89,0,6416.5,168.1,-168.1,0,4.16,0.16460809853794883,-0.16460809853794883,0,1.57,0.0740639963527715,-0.0740639963527715,0
137.390723,-37.796842,-16.58,0.022,-0.022,0.0,9.238,0.026,-0.026,0.0,2459277.553272,0.001512,-0.001512,0,3.7062792,8.9e-06,-8.9e-06,0,3.008,0.123,-0.123,0,13910.0,2.87436,-2.87436,0,13.4147,0.596572,-0.596572,0,714.906,1440.0,12.7318,0.006,-0.006,0,591.529,5.899,-5.899,0,6524.0,121.0,-121.0,0,4.49,0.09,-0.09,0,1.09,0.05,-0.05,0
308.504216,24.188255,-12.81,0.044,-0.044,0.0,-5.038,0.05,-0.05,0.0,2460540.259174,0.007889,-0.007889,0,9.0612809,7.04e-05,-7.04e-05,0,6.985,1.435,-1.435,0,1732.0,98.6167,-98.6167,0,5.2778,0.38081,-0.38081,0,565.894,1358.0,11.4542,0.006,-0.006,0,420.278,5.611,-5.611,0,5876.0,138.3,-138.3,0,4.09,0.08,-0.08,0,1.54,0.08,-0.08,0
118.138621,-12.108254,-3.443,0.032,-0.032,0.0,-3.162,0.028,-0.028,0.0,2459981.409845,0.003368,-0.003368,0,3.5423487,1.29e-05,-1.29e-05,0,1.35,0.303,-0.303,0,3496.0,648.167,-648.167,0,8.42588,1.379436464048041,-1.379436464048041,0,151.261,977.0,13.1583,0.008,-0.008,0,735.252,11.7635,-11.7635,0,6195.0,122.0,-122.0,0,4.39,0.16460809853794883,-0.16460809853794883,0,1.15,0.0740639963527715,-0.0740639963527715,0
313.40292,-36.821547,4.515,0.055,-0.055,0.0,-2.549,0.034,-0.034,0.0,2459037.349685,0.001392,-0.001392,0,4.0115394,0.0004694,-0.0004694,0,2.2686483,0.0865149,-0.0865149,0,14587.5117969,536.80414,-536.80414,0,15.3487909,0.8884081,-0.8884081,0,550.5706841,1235.4438742,12.8641,0.006,-0.006,0,596.389,12.8075,-12.8075,0,5741.0,5721.1,-5721.1,0,4.3,0.16460809853794883,-0.16460809853794883,0,1.13908,0.0581909,-0.0581909,0
137.795138,-42.518066,-15.257,0.046,-0.046,0.0,3.23,0.049,-0.049,0.0,2459304.797295,0.001142,-0.001142,0,7.2307407,1.45e-05,-1.45e-05,0,4.646,0.325,-0.325,0,7940.0,1.93488,-1.93488,0,13.364,0.498144,-0.498144,0,1009.89,1570.0,11.8422,0.007,-0.007,0,603.347,10.71,-10.71,0,7747.0,135.2,-135.2,0,4.39,0.08,-0.08,0,1.43,0.05,-0.05,0
293.389753,-45.891635,11.667,0.131,-0.131,0.0,3.895,0.057,-0.057,0.0,2459058.716872,0.000701,-0.000701,0,1.6622263,4.4e-06,-4.4e-06,0,3.415,0.092,-0.092,0,12560.0,1.65405,-1.65405,0,18.8693,1.03782,-1.03782,0,3599.67,2157.0,11.2016,0.006,-0.006,0,420.716,10.5775,-10.5775,0,6152.0,131.4,-131.4,0,4.09,0.09,-0.09,0,1.61,0.09,-0.09,0
156.673491,13.018643,-11.03,0.061,-0.061,0.0,-17.32,0.046,-0.046,0.0,2459575.660235,0.002199,-0.002199,0,1.7459947,0.0001194,-0.0001194,0,2.217,0.149,-0.149,0,18190.0,13.2728,-13.2728,0,12.8043,1.379436464048041,-1.379436464048041,0,773.913,1469.0,13.4277,0.007,-0.007,0,531.582,9.392,-9.392,0,5332.0,122.0,-122.0,0,4.46,0.16460809853794883,-0.16460809853794883,0,0.94,0.0740639963527715,-0.0740639963527715,0
141.219902,-39.030976,-21.165,0.035,-0.035,0.0,-16.522,0.039,-0.039,0.0,2459972.631689,0.006229,-0.006229,0,24.7104662,0.0001089,-0.0001089,0,5.259,0.652,-0.652,0,3534.0,187.127,-187.127,0,6.84115,0.394095,-0.394095,0,38.4335,693.0,11.4274,0.006,-0.006,0,310.479,2.52,-2.52,0,5876.0,124.0,-124.0,0,4.32,0.08,-0.08,0,1.18,0.06,-0.06,0
342.755394,-71.741896,-12.935,0.037,-0.037,0.0,7.404,0.039,-0.039,0.0,2460128.431989,0.006342,-0.006342,0,16.3764188,0.0003377,-0.0003377,0,4.775,1.016,-1.016,0,1230.0,4.08131,-4.08131,0,4.23355,0.33228,-0.33228,0,115.374,913.0,11.3326,0.006,-0.006,0,376.59,4.0305,-4.0305,0,6397.0,134.8,-134.8,0,4.36,0.09,-0.09,0,1.24,0.05,-0.05,0
101.595337,-75.444127,41.801,0.021,-0.021,0.0,44.798,0.03,-0.03,0.0,2459036.823688,0.001571,-0.001571,0,1.0929203,9.8e-06,-9.8e-06,0,1.5258481,0.2158204,-0.2158204,0,377.4316425,40.40569,-40.40569,0,1.3599954,1.3376256,-1.3376256,0,458.2468016,1180.0342431,12.3813,0.006,-0.006,0,155.501,0.309,-0.309,0,4361.0,128.258,-128.258,0,4.59663,0.103323,-0.103323,0,0.687025,0.0593969,-0.0593969,0
10.162056,-60.880424,14.062,0.031,-0.031,0.0,5.925,0.023,-0.023,0.0,2459064.337666,0.000901,-0.000901,0,7.8369842,1.05e-05,-1.05e-05,0,6.8077198,0.0998194,-0.0998194,0,14532.9486121,232.71725,-232.71725,0,21.4721115,1.2691845,-1.2691845,0,434.3612918,1164.3472682,12.937,0.006,-0.006,0,859.509,12.933,-12.933,0,5774.8,5809.4,-5809.4,0,4.4,2.0,-2.0,0,1.75826,0.100673,-0.100673,0
