,0
sy_pnum,0.5563195
pl_radelim,0.11401096
pl_radjerr1,0.043696906
default_flag,0.02584989
st_meterr1,0.01934552
st_met,0.014458121
sy_gaiamagerr1,0.011962052
soltype_encoded,0.010630604
pl_radeerr1,0.010258063
st_loggerr2,0.008800451
dec,0.008584811
pl_orbperlim,0.00786192
pl_rade_st_ratio,0.0072800796
st_mass,0.0072793094
pl_orbpererr2,0.0069683804
pl_rade_uncertainty,0.006858122
st_teff,0.0068034288
ra,0.006714969
pl_radeerr2,0.0062225536
st_logg,0.005826637
st_rad,0.005780514
vmag_minus_kmag,0.0049570887
pl_orbpererr1,0.004833267
pl_rade,0.004826187
pl_orbper,0.004769115
st_masserr1,0.0047318228
sy_kmagerr1,0.0047199153
st_raderr2,0.0047082477
sy_vmag,0.0045883683
vmag_minus_gaiamag,0.0044054827
sy_vmagerr1,0.004322736
st_tefferr1,0.0042209406
st_loggerr1,0.004190411
st_rad_uncertainty,0.0041335304
sy_dist,0.0040669213
pl_radjerr2,0.004059885
st_masserr2,0.0035333901
st_mass_uncertainty,0.0033659334
st_tefferr2,0.0031784198
st_teff_uncertainty,0.0031443164
pl_eq_temp,0.0031190387
sy_kmag,0.0030440406
st_raderr1,0.0029502758
sy_gaiamag,0.0029406208
sy_gaiamagerr2,0.0028580616
sy_disterr1,0.0026951572
pl_orbper_uncertainty,0.0019149816
st_density_est,0.001775905
st_metratio_encoded,0.0016793894
st_meterr2,0.0015978656
pl_density_est,0.0012668651
pl_radj,0.0011015758
sy_disterr2,0.0005705316
sy_dist_uncertainty,0.00021694649
st_radlim,0.0
sy_kmag_uncertainty,0.0
sy_vmag_uncertainty,0.0
pl_radjlim,0.0
ttv_flag,0.0
st_tefflim,0.0
sy_vmagerr2,0.0
st_masslim,0.0
sy_kmagerr2,0.0
st_metlim,0.0
disc_facility_encoded,0.0
pl_controv_flag,0.0
discoverymethod_encoded,0.0
sy_snum,0.0
st_logglim,0.0
sy_gaiamag_uncertainty,0.0
