,0
st_dist,0.057567623
st_tmag,0.055607937
pl_eqt,0.045391936
pl_insol,0.043110736
st_disterr2,0.041034352
st_disterr1,0.038840376
pl_rade,0.034325976
pl_tranmid,0.03362728
pl_tranmiderr2,0.0313787
st_raderr2,0.03055301
pl_radeerr2,0.030430319
st_loggerr2,0.02886875
pl_radeerr1,0.028026165
pl_orbper,0.027109096
pl_tranmiderr1,0.025172904
st_loggerr1,0.023728743
pl_orbpererr2,0.023566244
pl_trandep,0.02284346
pl_trandeperr1,0.022476502
pl_trandurh,0.022343105
pl_orbpererr1,0.022059102
st_tefferr2,0.02188919
st_logg,0.02138722
pl_trandurherr1,0.021218475
dec,0.01976859
pl_trandurherr2,0.01975484
st_rad,0.019659875
st_pmraerr1,0.018889602
st_teff,0.01861584
ra,0.01765088
st_tefferr1,0.016963154
st_raderr1,0.016960617
st_tmagerr1,0.016806578
pl_trandeperr2,0.016288897
st_pmdecerr1,0.015979337
st_pmra,0.015678352
st_pmdec,0.014839063
st_pmdecerr2,0.012062066
st_pmraerr2,0.0075251465
st_logglim,0.0
st_pmralim,0.0
st_tefflim,0.0
pl_radelim,0.0
pl_trandeplim,0.0
st_pmdeclim,0.0
st_distlim,0.0
pl_tranmidlim,0.0
pl_orbperlim,0.0
pl_trandurhlim,0.0
st_tmaglim,0.0
st_tmagerr2,0.0
st_radlim,0.0
